text,start,duration
"Your hands are extended
straight to keep your balance.",152.112,1.567
Just like that.,153.679,1.422
All the way up.,155.101,1.063
All the way down.,156.164,1.48
"Keeping your shoulder
blades off of the ground,",157.644,2.09
and your heels off the ground,159.734,1.196
so that you're abs are constantly engaged.,160.93,2.374
We're going to do ten of these.,163.304,1.788
(upbeat music),165.092,1.515
"Whew, okay, so I'm pretty
sweaty, I'm pretty worked up.",166.607,3.099
My heart beat's going pretty fast.,169.706,1.278
This is a great exercise really for anyone,170.984,1.909
"that's starting out,
really needs to get a base,",172.893,2.479
just start doing something.,175.372,1.858
This is great because you can recycle this,177.23,1.735
and you can do this as much as you want.,178.965,1.219
"Also, if you're ever on the
road and you can't do anything,",180.184,1.986
"you know you don't have
a gym that you can go to,",182.17,1.811
you can definitely do this.,183.981,1.329
"Just to do a little bit of
something, some maintenance work.",185.31,2.398
"So you just saw the four
exercises that we did",187.708,1.312
for 10 reps each.,189.02,1.074
Once you've done each of those one time,190.094,1.764
that is one interval.,191.858,1.457
"Basically, if you're just starting,",193.315,1.945
"you haven't done anything in
your life do one interval.",195.26,1.997
"But you know, kinda judge
how you feel you can handle,",197.257,2.455
"and then every time you
work out with this try to,",199.712,2.694
"try to do another interval
if you think you can.",202.406,2.055
"If you think you can handle
it do another interval,",204.461,1.643
"and work your way up until
you can do this you know",206.104,2.177
"15 times no problem,",208.281,1.166
"because by that point you
could walk into a gym,",209.447,2.235
and you know you could handle things.,211.682,1.73
You'd have a little bit of musculature.,213.412,1.237
"You'd know a little bit
more about your body.",214.649,2.037
"Plus, if you're someone
who is a little bit obese",216.686,2.136
"this is a great way to lose fat,",218.822,1.583
"kinda get some confidence in yourself,",220.405,1.541
"realize what you're doing,",221.946,1.01
"realize how to exercise and
then you can come to a gym,",222.956,2.514
and just be completely comfortable.,225.47,1.155
So there you go guys!,226.625,0.833
"You all asked me to
make a beginner workout.",227.458,1.391
"I know there are a lot
of people that follow me",228.849,1.254
that aren't even into fitness you know,230.103,1.526
"so this is a great way to
kinda segue you guys into that.",231.629,2.311
"And if you have any
questions about this workout,",233.94,1.66
or any questions about anything really,235.6,1.416
leave them in the comments below.,237.016,1.161
You know I'll answer 'em.,238.177,0.964
"It may take me a few days but
I'll definitely get there.",239.141,1.939
Thank you guys for checking out the video.,241.08,1.434
I appreciate all the love and support.,242.514,1.671
"Please leave a like and
comment if you haven't already,",244.185,2.171
"and if you're not
subscribed please do that.",246.356,1.881
"Team Beyond the Weak,
Lift Heavy or Die Mirin.",248.237,3.588
(upbeat music),251.825,2.583
